15:44:06.835 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
15:44:06.838 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@37cc6017, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3fcc7f5c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7512a9a6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@32fd5bc, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5737d116, org.springframework.test.context.support.DirtiesContextTestExecutionListener@b5d7233, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6be2b567, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@169d1f92, org.springframework.test.context.event.EventPublishingTestExecutionListener@7fcbc336, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1fe7fa16, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@61503d00, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1fcfcf37, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3ebc6d8b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1eab0700, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7e7391e8]
15:44:06.888 [main] INFO  c.l.phoneapp.PhoneappApplicationTest - Starting PhoneappApplicationTest using Java 1.8.0_291 on XPS15-9500 with PID 25860 (started by Luis in C:\Users\Luis\Documents\workspace-spring-tool-suite-4-4.10.0.RELEASE\phoneapp)
15:44:06.889 [main] INFO  c.l.phoneapp.PhoneappApplicationTest - No active profile set, falling back to default profiles: default
15:44:07.107 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
15:44:07.119 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 2 JPA repository interfaces.
15:44:07.244 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
15:44:07.250 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
15:44:07.251 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
15:44:07.251 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
15:44:07.285 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
15:44:07.286 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
15:44:07.335 [main] INFO  c.l.phoneapp.PhoneappApplication - Saving phone data into the database...
15:44:07.477 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
15:44:07.551 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:mydb'
